horizon,mse,rmse,mae,mape,mdape,smape,coverage
26 days,2729908022968.674,1652243.3304355245,1428840.8307554265,1.9943726490517648,2.6090670020051965,1.1815833622506553,0.0
27 days,2600004856085.522,1612453.055467204,1578109.6371882893,2.0835804754588305,2.322174958703154,1.312117751498652,0.0
28 days,713510582048.9799,844695.5558359354,811177.1561549293,1.1872532288931463,1.287324898958113,0.7298818824510386,0.0
29 days,811889257049.7129,901048.9759439899,875556.1035150206,1.282096598589377,1.287324898958113,0.7692060450789806,0.0
56 days,13918239662306.781,3730715.703763392,2434426.478578948,3.12867238047053,0.8586109864746598,1.2242525293180815,0.0
57 days,1025418115812.4354,1012629.3081934946,869093.944685344,1.1501358386120082,0.85651137837669,0.6727010487463881,0.0
58 days,8508362361277.704,2916909.727996001,2162335.8293023566,3.1036841066644203,2.3051544575224834,0.9512081291220252,0.0
59 days,5677554815651.038,2382762.014060791,1483641.426651515,2.1307955163447825,2.3051544575224834,0.7020984239466479,0.0
60 days,4022559208633.592,2005631.8726609806,1390324.6829431679,357.83364584409765,2.3051544575224834,1.050452179340433,0.0
86 days,2121343601291.6633,1456483.299352129,1312862.867150455,357.667771621564,2.0888749726324347,1.3667185351214792,0.0
87 days,573066007684.6456,757011.2335260591,570567.5780693748,0.7423738528227569,0.6549134224450006,0.8329731879357257,0.0
88 days,1327083590274.022,1151991.1415779297,1142507.4145786166,1.6840647837840452,1.8045722315102468,1.2590435972243081,0.0
89 days,1045086834677.2006,1022294.8863597042,992874.5805485962,1.4615288713797943,1.3236713315487005,1.0640093997760907,0.0
90 days,1525760969473.4443,1235216.9726300898,1119834.5433681898,810.7050581358699,1053.992180213929,1.5557508898243242,0.0
