month_year,total_revenue,revenue_rank
2017-11,795216.87,1
2018-03,776744.11,2
2018-01,775658.97,3
2018-04,751887.31,4
2018-05,736756.25,5
2018-02,708344.13,6
2018-08,682378.97,7
2018-07,671056.77,8
2018-06,664745.18,9
2017-12,617599.98,10
2017-10,492343.49,11
2017-09,454259.1,12
2017-08,450671.01,13
2017-07,425606.32,14
2017-05,385922.09,15
2017-06,334376.01,16
2017-03,278518.19,17
2017-04,253380.7,18
2017-02,183833.39,19
2017-01,79036.4,20
2016-10,34553.25,21
2018-09,1758.89,22
2018-10,589.67,23
2016-09,252.24,24
2016-12,19.62,25
