month_year,total_revenue,running_total
2016-09,252.24,252.24
2016-10,34553.25,34805.49
2016-12,19.62,34825.11
2017-01,79036.4,113861.51
2017-02,183833.39,297694.9
2017-03,278518.19,576213.09
2017-04,253380.7,829593.79
2017-05,385922.09,1215515.88
2017-06,334376.01,1549891.89
2017-07,425606.32,1975498.21
2017-08,450671.01,2426169.22
2017-09,454259.1,2880428.32
2017-10,492343.49,3372771.81
2017-11,795216.87,4167988.68
2017-12,617599.98,4785588.66
2018-01,775658.97,5561247.63
2018-02,708344.13,6269591.76
2018-03,776744.11,7046335.87
2018-04,751887.31,7798223.18
2018-05,736756.25,8534979.43
2018-06,664745.18,9199724.61
2018-07,671056.77,9870781.38
2018-08,682378.97,10553160.35
2018-09,1758.89,10554919.24
2018-10,589.67,10555508.91
