customer_id,total_orders,total_spent,spend_rank,spend_quartile
f959b7bc834045511217e6410985963f,1,1338.41,1,1
3118aefef04e5e97d0e339cd75d6d775,1,1025.71,2,1
6f241d5bbb142b6f764387c8c270645a,1,1020.0,3,1
de832e8dbb1f588a47013e53feaa67cc,1,740.76,4,1
85ed641fe825f188f1a67b317b5f540c,1,666.71,5,1
a99b2128d3db96e838381fe6042cdee6,1,622.08,6,1
911035bc0dcc0c5ee9580cbe3e59ed06,1,599.26,7,1
d3e82ccec3cb5f956a38d96c057ceaae,1,598.75,8,1
03b243d7ac6a467982044dd9dddb4d68,1,583.15,9,1
5bb40f4d5a4371842ecc05e3b4475dc1,1,567.59,10,1
